,都道府県コード又は市区町村コード,都道府県名,市区町村名,名称,名称_カナ,住所,方書,設置位置,備考（設置台数）,経度,緯度
63,32018,岩手県,盛岡市,北松園児童センター・北松園老人福祉センター,キタマツゾノジドウセンター・キタマツゾノオルジンフクシセンター,岩手県盛岡市北松園4-1-4,,,1,141.1747388,39.76009433
64,32018,岩手県,盛岡市,桜城老人福祉センター,サクラギロウジンフクシセンター,岩手県盛岡市大通3-8-18,,,1,141.140439,39.70381818
65,32018,岩手県,盛岡市,川目児童センター・川目老人福祉センター,カワメジドウセンター・カワメロウジンフクシセンター,岩手県盛岡市東山1-15-1,,,1,141.1764692,39.69208947
66,32018,岩手県,盛岡市,北厨川児童センター・北厨川老人福祉センター,キタクリヤガワジドウセンター・キタクリヤガワロウジンフクシセンター,岩手県盛岡市厨川1-14-1,,,1,141.1312806,39.74545947
67,32018,岩手県,盛岡市,仁王児童センター・仁王老人福祉センター,ニオウジドウセンター・ニオウロウジンフクシセンター,岩手県盛岡市名須川町21-1,,,1,141.1496551,39.7102247
68,32018,岩手県,盛岡市,山岸児童センター・山岸老人福祉センター,ヤマギシジドウセンター・ヤマギシロウジンフクシセンター,岩手県盛岡市下米内1-3-18,,,1,141.1743044,39.71574564
69,32018,岩手県,盛岡市,大慈寺児童センター・大慈寺老人福祉センター,ダイジジジドウセンター・ダイジジロウジンフクシセンター,岩手県盛岡市茶畑2-16-20,,,1,141.1605233,39.69123192
70,32018,岩手県,盛岡市,下太田児童センター・下太田老人福祉センター,シモオオタジドウセンター・シモオオタロウジンフクシセンター,岩手県盛岡市下太田榊14-22,,,1,141.1171414,39.6961225
71,32018,岩手県,盛岡市,上米内児童センター・上米内老人福祉センター,カミヨナイジドウセンター・カミヨナイロウジンフクシセンター,岩手県盛岡市桜台2-18-5,,,1,141.1966883,39.74913901
72,32018,岩手県,盛岡市,世代交流センター・見前児童センター,セダイコウリュウセンター・ミルマエジドウセンター,岩手県盛岡市西見前13-25-3,,,1,141.1632241,39.64183404
73,32018,岩手県,盛岡市,川目児童センター簗川分室・簗川老人福祉センター・簗川支所,カワメジドウセンターヤナガワブンシツ・ヤナガワロウジンフクシセンター・ヤナガワシショ,岩手県盛岡市川目10-78-1,,,1,141.1977806,39.6719799
74,32018,岩手県,盛岡市,プラザおでって2階,プラザオデッテ,岩手県盛岡市中ﾉ橋通1-1-10,,,1,141.1547158,39.70001527
